"カジュアルスラックス", "CasualSlacks", "kajuaru surakkusu",
"シャトルーズグリーン", "Chartreuse Green", "shatoruuzuguriin",
"エメラルドグリーン", "Emerald Green", "emerarudoguriin",
"オリエンタルブルー", "Oriental Blue", "orientaruburuu",
"キャロットオレンジ", "Carrot Orange", "kyarottoorenji",
"ゴールデンイエロー", "Golden Yellow", "gooruden ieroo",
"チャイニーズレッド", "Chinese Red", "chainiizureddo",
"ネープルスイエロー", "Naples Yellow", "neepurusuieroo",
"ビリヤードグリーン", "Billiard Green", "biriyaadoguriin",
"ピーコックグリーン", "Peacock Green", "piikokkuguriin",
"フォレストグリーン", "Forest Green", "foresutoguriin",
"マラカイトグリーン", "Malachite Green", "marakaitoguriin",
"マンダリンオレンジ", "Mandarin Orange", "mandarin orenji",
"ミッドナイトブルー", "Midnight Blue", "middonaitoburuu",
"ガーターブーツ", "Garter_boots", "ka tafu tsu",
"アイビーグリーン", "Ivy Green", "aibiiguriin",
"アップルグリーン", "Apple Green", "appuruguriin",
"イエローオーカー", "Yellow Ocher", "ierooookaa",
"オリーブグリーン", "Olive Green", "oriibuguriin",
"カナリーイエロー", "Canary Yellow", "kanariiieroo",
"カフスチョーカー", "CuffChoker", "kafusuchoka",
"クリームイエロー", "Cream Yellow", "kuriimuieroo",
"コチニールレッド", "Cochineal Red", "kochiniirureddo",
"コバルトグリーン", "Cobalt Green", "kobarutoguriin",
"サングラスレンズ", "Sunglasses_lens", "sangurasu renzu",
"セルリアンブルー", "Cerulean Blue", "serurianburuu",
"ターコイズブルー", "Turquoise Blue", "taakoizuburuu",
"チャコールグレー", "Charcoal Grey", "chakooruguree",
"バタフライショツ", "Butterfly_shirt", "batafuraishotsu",
"バーントアンバー", "Burnt Umber", "baantoanbaa",
"バーントシェンナ", "Burnt Sienna", "baantoshen na",
"ピーコックブルー", "Peacock Blue", "piikokkuburuu",
"プルシアンブルー", "Prussian Blue", "purushianburuu",
"ちょうネクタイ", "BowTie", "chounekutai",
"アイアンブルー", "Iron Blue", "aianburuu",
"アッシュグレー", "Ash Grey", "asshuguree",
"ウルトラマリン", "Ultramarine Blue", "urutoramarin",
"エクルベージュ", "Ecru Beige", "ekurubeeju",
"オリーブドラブ", "Olive Drab", "oriibudorabu",
"オールドローズ", "Old Rose", "oorudoroozu",
"クロムイエロー", "Chrome Yellow", "kuromuieroo",
"グラスグリーン", "Grass Green", "gurasuguriin",
"ココアブラウン", "Cocoa Brown", "kokoaburaun",
"コバルトブルー", "Cobalt Blue", "kobarutoburuu",
"コーラルレッド", "Coral Red", "koorarureddo",
"サックスブルー", "Saxe Blue", "sakkusuburuu",
"サングラスリム", "Sunglasses_rim", "sangurasu rimu",
"サーモンピンク", "Salmon Pink", "saamonpinku",
"シグナルレッド", "Signal Red", "shigunarureddo",
"シルバーグレー", "Silver Grey", "shirubaaguree",
"ジョンブリアン", "Jaune Brillant", "jonburian",
"スチールグレー", "Steel Grey", "suchiiruguree",
"スノーホワイト", "Snow White", "sunoohowaito",
"スレートグレー", "Slate Grey", "sureetoguree",
"セーラーミズギ", "SailorSwimsuit", "sēramizugi",
"チェリーピンク", "Cherry Pink", "cheriipinku",
"ティアドロップ", "Teardrop", "tiadoppu",
"ネイビーブルー", "Navy Blue", "neibiiburuu",
"バーガンディー", "Burgundy", "baagandii",
"ヘリオトロープ", "Heliotrope", "heriotoroopu",
"ホリゾンブルー", "Horizon Blue", "horizonburuu",
"ボトルグリーン", "Bottle Green", "botoruguriin",
"マリーゴールド", "Marigold", "mariigoorudo",
"ミントグリーン", "Mint Green", "mintoguriin",
"ライムグリーン", "Lime_green", "raimuguriin",
"ランプブラック", "Lamp Black", "ranpuburakku",
"リーフグリーン", "Leaf Green", "riifuguriin",
"レモンイエロー", "Lemon Yellow", "remon ieroo",
"こっちみんな", "Do not look at me",
"いりょうひん", "Clothing", "iryouhin",
"アプリコット", "Apricot", "apurikotto",
"アールビット", "Arlvit", "aru bitto",
"ウィスタリア", "Wistaria", "uisutaria",
"ウインク２右", "Wink 2 Right",
"オレンジいろ", "Orange", "orenjiiro",
"カフスボタン", "CufflinkButton", "kafusubotan",
"カーディガン", "Cardigan", "ka-digan",
"シェルピンク", "Shell Pink", "sherupinku",
"シーグリーン", "Sea Green", "shiiguriin",
"スカイグレー", "Sky Grey", "sukaiguree",
"スカイブルー", "Sky Blue", "sukaiburuu",
"スカーレット", "Scarlet", "sukaaretto",
"ストッキング", "Stockings", "sutokkingu",
"ストロベリー", "Strawberry", "sutoroberii",
"チョコレート", "Chocolate", "chokoretto",
"ティアドップ", "Teardrop", "tiadoppu",
"トマトレッド", "Tomato Red", "tomatoreddo",
"ナイルブルー", "Nile Blue", "nairuburuu",
"ネールピンク", "Nail Pink", "neerupinku",
"バイオレット", "Violet", "baioretto",
"バニーイヤー", "BunnyEars", "baniiya",
"バーミリオン", "Vermilion", "baamirion",
"パールグレー", "Pearl Grey", "paaruguree",
"ヘッドセット", "Headset", "headosetto",
"ベビードール", "BabyDoll", "bebi doru",
"ベビーピンク", "Baby Pink", "bebiipinku",
"ベビーブルー", "Baby Blue", "bebiiburuu",
"ポピーレッド", "Poppy Red", "popiireddo",
"マリンブルー", "Marine Blue", "marinburuu",
"ヤマザナドゥ", "Yamazanadu",
"ルビーレッド", "Ruby Red", "rubiireddo",
"レインコート", "Raincoat", "reinkooto",
"ローアンバー", "Raw Umber", "rooanbaa",
"ローシェンナ", "Raw Sienna", "rooshen na",
"ローズグレー", "Rose Grey", "roozuguree",
"ローズピンク", "Rose Pink", "roozupinku",
"ローズレッド", "Rose Red", "roozureddo",
"ワインレッド", "Wine Red", "wainreddo",
"T-シャツ", "T-shirt", "T-shatsu",
"かっしょく", "Brown", "kasshoku",
"はんズボン", "ShortPants", "hanzubon",
"アイボリー", "Ivory", "aiborii",
"イヤリング", "Earring", "iyaringu",
"ウインク右", "Wink Right",
"ウインク２", "Wink 2",
"オレンジ色", "Orange", "orenjiiro",
"オーキッド", "Oechid", "ookiddo",
"カジュアル", "Casual", "kajuaru",
"カーマイン", "Carmine", "kaamain",
"キャンセル", "Control", "kyanseru",
"クリスタル", "Crystals", "kurisutaru",
"サングラス", "Sunglasses", "sangurasu",
"ジャケット", "Jacket", "jaketto",
"スカウター", "Scout", "sukauta",
"スニーカー", "Sneakers", "suniikaa",
"スラックス", "Slacks", "surakkusu",
"テラコッタ", "Terracotta", "terakotta",
"トランクス", "Boxers", "torankusu",
"トレーナー", "SweatShirt (Trainer)", "tore-na-",
"ネックレス", "Necklace", "nekkuresu",
"ハイヒール", "HighHeelShoes", "haihiiru",
"ハイライト", "Highlight", "hairaito",
